YEAR,ZIPCODE,STATE,REGION,Nearest_UrgentCare,Nearest_emDepart,Nearest_medICU,Nearest_traumaCenter,Nearest_pedICU,Nearest_healthClinic,percent_uninsured,Median_household_income,STATE_ABBR
2020,94263,California,West,,,,,,,5.38,37595.0,CA
2020,94261,California,West,,,,,,,5.38,37595.0,CA
2020,94258,California,West,,,,,,,5.38,37595.0,CA
2020,94252,California,West,,,,,,,5.38,37595.0,CA
2020,94250,California,West,,,,,,,5.38,37595.0,CA
2020,94248,California,West,,,,,,,5.38,37595.0,CA
2020,94245,California,West,,,,,,,5.38,37595.0,CA
2020,94244,California,West,,,,,,,5.38,37595.0,CA
2020,94237,California,West,,,,,,,5.38,37595.0,CA
2020,94236,California,West,,,,,,,5.38,37595.0,CA
2020,94235,California,West,,,,,,,5.38,37595.0,CA
2020,94234,California,West,,,,,,,5.38,37595.0,CA
2020,94229,California,West,,,,,,,5.38,37595.0,CA
2020,94211,California,West,,,,,,,5.38,37595.0,CA
2020,94209,California,West,,,,,,,5.38,37595.0,CA
2020,94208,California,West,,,,,,,5.38,37595.0,CA
2020,94207,California,West,,,,,,,5.38,37595.0,CA
2020,94203,California,West,,,,,,,5.38,37595.0,CA
2020,95853,California,West,2.56,0.59,0.59,3.42,2.54,0.47,7.54,42276.0,CA
2020,95852,California,West,2.56,0.59,0.59,3.42,2.54,0.47,7.54,42276.0,CA
2020,95851,California,West,2.56,0.59,0.59,3.42,2.54,0.47,7.54,42276.0,CA
2020,95815,California,West,2.52,0.81,0.81,3.9,2.81,0.39,7.54,42276.0,CA
2020,95813,California,West,2.56,0.59,0.59,3.42,2.54,0.47,7.54,42276.0,CA
2020,94267,California,West,,,,,,,7.54,42276.0,CA
2020,94204,California,West,,,,,,,7.54,42276.0,CA
2020,95816,California,West,0.33,0.13,0.13,1.4,0.13,0.59,5.71,70448.0,CA
2020,94249,California,West,,,,,,,5.71,70448.0,CA
2020,95817,California,West,1.14,0.29,0.29,0.24,0.24,0.56,8.61,52323.0,CA
2020,95894,California,West,0.9,1.16,1.16,1.37,1.16,1.2,2.99,88101.0,CA
2020,94297,California,West,,,,,,,2.99,88101.0,CA
2020,94294,California,West,,,,,,,2.99,88101.0,CA
2020,94293,California,West,,,,,,,2.99,88101.0,CA
2020,95818,California,West,1.33,1.52,1.52,1.9,1.52,0.74,2.99,88101.0,CA
2020,94291,California,West,,,,,,,2.99,88101.0,CA
2020,94290,California,West,,,,,,,2.99,88101.0,CA
2020,94285,California,West,,,,,,,2.99,88101.0,CA
2020,94284,California,West,,,,,,,2.99,88101.0,CA
2020,94259,California,West,,,,,,,2.99,88101.0,CA
2020,94239,California,West,,,,,,,2.99,88101.0,CA
2020,94232,California,West,,,,,,,2.99,88101.0,CA
2020,95819,California,West,1.37,0.15,0.15,1.35,1.35,0.9,2.57,113879.0,CA
2020,95820,California,West,2.46,1.52,1.52,1.42,1.42,0.49,10.73,55003.0,CA
2020,95860,California,West,3.53,0.83,0.83,5.43,0.83,3.64,5.35,47056.0,CA
2020,95821,California,West,3.37,1.46,1.46,5.05,1.46,3.0,5.35,47056.0,CA
2020,95822,California,West,1.34,3.46,3.46,3.43,3.43,1.73,6.09,61988.0,CA
2020,94280,California,West,,,,,,,6.09,61988.0,CA
2020,95823,California,West,1.75,1.11,1.11,1.11,5.22,1.07,7.32,50832.0,CA
2020,94283,California,West,,,,,,,7.32,50832.0,CA
2020,94282,California,West,,,,,,,7.32,50832.0,CA
2020,94262,California,West,,,,,,,7.32,50832.0,CA
2020,94256,California,West,,,,,,,7.32,50832.0,CA
2020,94254,California,West,,,,,,,7.32,50832.0,CA
2020,94247,California,West,,,,,,,7.32,50832.0,CA
2020,94230,California,West,,,,,,,7.32,50832.0,CA
2020,94206,California,West,,,,,,,7.32,50832.0,CA
2020,94205,California,West,,,,,,,7.32,50832.0,CA
2020,95824,California,West,2.92,2.65,2.65,2.55,2.55,0.7,9.78,40979.0,CA
2020,95866,California,West,3.36,0.31,0.31,4.52,0.31,3.0,7.44,45248.0,CA
2020,95865,California,West,3.36,0.31,0.31,4.52,0.31,3.0,7.44,45248.0,CA
2020,95825,California,West,3.25,1.25,1.25,3.6,1.25,2.81,7.44,45248.0,CA
2020,95826,California,West,1.38,3.55,3.55,4.23,3.55,3.93,4.8,65967.0,CA
2020,95827,California,West,1.45,4.28,4.28,6.89,4.28,6.67,6.43,63936.0,CA
2020,95828,California,West,1.6,1.52,1.52,1.52,5.61,1.81,7.38,56190.0,CA
2020,95829,California,West,3.7,3.78,3.78,4.11,8.08,3.45,4.06,97009.0,CA
2020,95830,California,West,7.16,7.24,7.24,7.58,10.62,6.87,0.6,116838.0,CA
2020,95831,California,West,3.2,5.62,5.62,5.61,5.61,2.24,3.46,81626.0,CA
2020,95832,California,West,3.94,3.52,3.52,3.52,5.6,0.42,5.96,55734.0,CA
2020,95833,California,West,2.17,2.44,2.44,4.89,3.61,2.36,6.02,69798.0,CA
2020,95834,California,West,0.62,3.57,3.57,6.65,5.37,3.81,4.25,77404.0,CA
2020,95835,California,West,1.83,5.38,5.38,8.67,7.4,4.83,3.08,104404.0,CA
2020,95837,California,West,5.55,9.67,9.67,10.55,11.13,8.47,8.68,145833.0,CA
2020,95838,California,West,0.75,2.46,2.46,6.08,3.89,0.36,8.72,50161.0,CA
2020,95841,California,West,1.71,1.69,1.71,1.71,4.88,2.36,7.65,53866.0,CA
2020,95842,California,West,1.76,2.43,2.43,2.43,6.17,1.81,6.7,54146.0,CA
2020,95843,California,West,2.75,4.45,4.45,4.45,6.83,2.9,6.12,82000.0,CA
2020,95864,California,West,2.01,1.35,1.35,4.75,1.35,4.23,3.34,107115.0,CA
2020,95901,California,West,2.28,2.29,2.29,2.29,32.84,1.93,7.84,55128.0,CA
2020,95903,California,West,12.93,12.94,12.94,12.94,25.47,7.55,0.67,51940.0,CA
2020,95912,California,West,11.66,14.34,14.34,26.13,43.37,0.88,10.97,64923.0,CA
2020,95916,California,West,14.06,12.18,12.18,25.34,61.96,1.71,9.12,34050.0,CA
2020,95917,California,West,18.49,3.31,3.31,19.76,51.81,3.32,5.33,67730.0,CA
2020,95918,California,West,15.74,15.75,15.75,15.75,37.27,7.12,11.59,73977.0,CA
2020,95972,California,West,18.46,17.43,17.43,30.18,49.6,3.46,11.59,73977.0,CA
2020,95919,California,West,19.02,15.15,15.15,27.58,48.38,1.18,0.0,78625.0,CA
2020,95920,California,West,21.1,13.53,16.1,21.42,62.01,12.56,12.5,46875.0,CA
2020,95922,California,West,14.48,15.09,15.09,35.03,49.16,5.93,8.2,75795.0,CA
2020,95925,California,West,18.4,17.93,17.93,30.73,49.87,4.03,31.42,21786.0,CA
2020,95927,California,West,0.12,1.01,1.01,1.01,74.93,1.52,7.35,51838.0,CA
